name,price,speed,modules,price_per_gb,first_word_latency,cas_latency,planks,size
G.Skill Ripjaws S5 64 GB,194.99,"[5, 5600]","[2, 32]",3.047,10.0,28.0,2,64
Corsair Vengeance LPX 8 GB,34.99,"[4, 2666]","[2, 4]",4.374,12.003,16.0,2,8
TEAMGROUP Elite 16 GB,34.99,"[5, 5200]","[1, 16]",2.187,16.154,42.0,2,16
OLOy Blade 32 GB,131.99,"[5, 6400]","[2, 16]",4.125,10.0,32.0,2,32
Corsair Vengeance RGB 64 GB,280.99,"[5, 6200]","[4, 16]",4.39,10.323,32.0,2,64
Kingston FURY Beast 16 GB,69.99,"[5, 4800]","[2, 8]",4.374,15.833,38.0,2,16
Corsair Vengeance 64 GB,179.99,"[5, 5200]","[2, 32]",2.812,15.385,40.0,2,64
Crucial CT32G48C40U5 32 GB,77.99,"[5, 4800]","[1, 32]",2.437,16.667,40.0,2,32
Corsair Vengeance RGB 64 GB,249.99,"[5, 6400]","[4, 16]",3.906,10.0,32.0,2,64
G.Skill Trident Z 32 GB,114.99,"[5, 6000]","[2, 16]",3.593,10.0,30.0,2,32
TEAMGROUP Elite Plus 16 GB,37.99,"[5, 4800]","[2, 8]",2.374,16.667,40.0,2,16
TEAMGROUP T-Force Delta RGB 16 GB,41.99,"[4, 3000]","[2, 8]",2.624,10.667,16.0,2,16
Corsair Vengeance RGB Pro SL 32 GB,99.99,"[4, 3600]","[2, 16]",3.125,10.0,18.0,2,32
G.Skill Ripjaws S5 32 GB,108.99,"[5, 6000]","[2, 16]",3.406,10.0,30.0,2,32
Patriot Viper Elite II 16 GB,27.99,"[4, 2666]","[1, 16]",1.749,12.003,16.0,2,16
Mushkin Enhanced Redline Stiletto 32 GB,62.99,"[4, 3600]","[2, 16]",1.968,10.0,18.0,2,32
TEAMGROUP T-Force Vulcan Z 16 GB,44.99,"[4, 4000]","[2, 8]",2.812,9.0,18.0,2,16
Corsair Vengeance RGB 32 GB,159.99,"[5, 6600]","[2, 16]",5.0,9.697,32.0,2,32
TEAMGROUP Elite 8 GB,17.98,"[4, 2666]","[1, 8]",2.248,14.254,19.0,2,8
ADATA XPG GAMMIX D10 16 GB,104.16,"[4, 3200]","[2, 8]",6.51,10.0,16.0,2,16
G.Skill Trident Z Neo 32 GB,97.99,"[4, 4000]","[2, 16]",3.062,9.0,18.0,2,32
Corsair Vengeance LPX 32 GB,67.99,"[4, 3600]","[2, 16]",2.125,10.0,18.0,2,32
TEAMGROUP Elite Plus 64 GB,147.99,"[5, 4800]","[2, 32]",2.312,16.667,40.0,2,64
Corsair Vengeance RGB 32 GB,129.99,"[5, 6000]","[2, 16]",4.062,10.0,30.0,2,32
Timetec PINNACLE Konduit 16 GB,29.99,"[4, 3200]","[1, 16]",1.874,10.0,16.0,2,16
G.Skill Trident Z5 RGB 32 GB,119.99,"[5, 6400]","[2, 16]",3.75,10.0,32.0,2,32
G.Skill Trident Z5 64 GB,349.99,"[5, 6000]","[2, 32]",5.469,10.0,30.0,2,64
Silicon Power XPOWER Zenith RGB Gaming 32 GB,78.99,"[5, 5600]","[2, 16]",2.468,14.286,40.0,2,32
Corsair Vengeance 48 GB,174.99,"[5, 7000]","[2, 24]",3.646,11.429,40.0,2,48
