name,price,type,efficiency,wattage,modular
EVGA SuperNOVA 1600 P2,304.99,ATX,platinum,1600,Full
Corsair CX550M,197.83,ATX,bronze,550,Semi
Asus ROG Strix,157.41,ATX,gold,550,Full
SeaSonic FOCUS Plus Platinum,149.98,ATX,platinum,650,Full
Asus TUF Gaming B,79.98,ATX,bronze,450,False
be quiet! Pure Power 11,88.59,ATX,gold,600,False
Cooler Master V SFX Platinum,279.99,SFX,platinum,1100,Full
Thermaltake Toughpower,108.99,ATX,gold,750,Semi
Corsair CX600M,179.99,ATX,bronze,600,Semi
Super Flower Leadex V Pro,249.99,ATX,gold,1000,Full
Corsair VS650 (2018),464.99,ATX,plus,650,False
Cooler Master G700,103.98,ATX,gold,700,False
EVGA SuperNOVA 1300 P+,357.68,ATX,platinum,1300,Full
SeaSonic PRIME PX,336.29,ATX,platinum,1000,Full
SeaSonic PRIME PX,414.99,ATX,platinum,1600,Full
Corsair CX750M V2 (2017 Edition),199.99,ATX,bronze,750,Semi
Vetroo GV1000,159.99,ATX,gold,1000,Full
SeaSonic VERTEX GX-850,219.99,ATX,gold,850,Full
Thermaltake Toughpower Grand RGB,130.99,ATX,gold,750,Full
Cooler Master G500,89.99,ATX,gold,500,False
Enermax Revolution D.F.,122.98,ATX,gold,650,Full
Corsair CX500,299.99,ATX,bronze,500,False
Super Flower Leadex III Super Pro,89.99,ATX,bronze,550,Full
Thermaltake Smart Pro RGB,106.28,ATX,bronze,650,Full
be quiet! System Power 9 CM,140.09,ATX,bronze,400,Semi
be quiet! Straight Power 11 550W,109.0,ATX,gold,550,Full
Deepcool PQ850M,130.98,ATX,gold,850,Full
SeaSonic CORE GM,144.99,ATX,gold,650,Semi
Super Flower Leadex III ARGB,178.68,ATX,gold,750,Full
Thermaltake Toughpower SFX,194.99,SFX,gold,850,Full
EVGA SuperNOVA 850 P5,184.99,ATX,platinum,850,Full
Cooler Master MWE Bronze,68.75,ATX,bronze,500,False
SeaSonic PRIME 1300 Gold,281.99,ATX,gold,1300,Full
be quiet! Pure Power 9 CM,105.39,ATX,bronze,600,Semi
Thermaltake Toughpower SFX 600W Gold,125.38,SFX,gold,600,Full
be quiet! System Power 9,114.11,ATX,bronze,600,False
Corsair RM850 (2019),219.0,ATX,gold,850,Full
FSP Group Hydro PTM PRO,267.99,ATX,platinum,1200,Full
Asus ROG THOR P2 Gaming EVA Edition,489.99,ATX,platinum,1000,Full
SeaSonic G12 GM,159.37,ATX,gold,850,Semi
Corsair TX750M Gold,262.43,ATX,gold,750,Semi
SeaSonic PRIME TX-750,210.99,ATX,titanium,750,Full
Silverstone DA750 Gold,155.88,ATX,gold,750,Full
Thermaltake Toughpower GF1 Snow - TT Premium,139.99,ATX,gold,850,Full
Corsair CX750F,219.99,ATX,bronze,750,Full
Silverstone ST85F-GS-V2,129.99,ATX,gold,850,Full
Silverstone HELA 850R,208.08,ATX,platinum,850,Full
Silverstone Strider Platinum,150.0,ATX,platinum,850,Full
Corsair CX650F,170.99,ATX,bronze,650,Full
Corsair RM850x White,339.99,ATX,gold,850,Full
be quiet! Pure Power 11 CM,114.89,ATX,gold,700,Semi
Deepcool DQ-M-V2L,153.38,ATX,gold,850,Full
EVGA SuperNOVA 550 GA,153.8,ATX,gold,550,Full
