cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
Intel Core i3-12100T,122.0,12767,104.65,3412,27.96,35.0,364.77,4,2022,LGA1700,Desktop
AMD Ryzen 3 3300X,269.99,12746,47.21,2689,9.96,65.0,196.1,4,2020,AM4,Desktop
Intel Core i5-10400F @ 2.90GHz,124.99,12439,99.52,2572,20.58,65.0,191.37,6,2020,LGA1200,Desktop
Intel Core i5-10400 @ 2.90GHz,149.99,12320,82.14,2587,17.25,65.0,189.53,6,2020,LGA1200,Desktop
AMD Ryzen 5 1600,159.82,12314,77.05,2074,12.98,65.0,189.45,6,2017,AM4,Desktop
Intel Core i7-9700E @ 2.60GHz,323.0,12239,37.89,2576,7.97,65.0,188.3,8,2020,LGA1151,Desktop
AMD Ryzen 3 3100,137.95,11660,84.52,2427,17.59,65.0,179.38,4,2020,AM4,Desktop
Intel Core i5-10600T @ 2.40GHz,213.0,11376,53.41,2422,11.37,35.0,325.02,6,2020,LGA1200,Desktop
Intel Core i5-9600KF @ 3.70GHz,159.0,10838,68.16,2786,17.52,95.0,114.08,6,2019,LGA1151,Desktop
Intel Core i5-9600K @ 3.70GHz,232.6,10793,46.4,2773,11.92,95.0,113.61,6,2018,LGA1151,Desktop
Intel Core i7-9700T @ 2.00GHz,323.0,10736,33.24,2445,7.57,35.0,306.74,8,2019,LGA1151,Desktop
Intel Core i7-8700T @ 2.40GHz,343.02,10431,30.41,2366,6.9,35.0,298.04,6,2018,LGA1151,Desktop
Intel Core i5-9600 @ 3.10GHz,256.55,10369,40.42,2751,10.72,65.0,159.53,6,2019,LGA1151,Desktop
Intel Core i5-10500T @ 2.30GHz,192.0,10365,53.98,2342,12.2,35.0,296.14,6,2020,LGA1200,Desktop
Intel Core i5-9500F @ 3.00GHz,182.0,10330,56.76,2676,14.7,65.0,158.92,6,2019,LGA1151,Desktop
Intel Core i3-10325 @ 3.90GHz,154.0,10308,66.94,2890,18.77,65.0,158.59,4,2022,LGA1200,Desktop
Intel Core i5-8600K @ 3.60GHz,235.99,10195,43.2,2609,11.05,95.0,107.32,6,2017,LGA1151,Desktop
Intel Core i3-10320 @ 3.80GHz,133.95,10115,75.51,2848,21.26,65.0,155.61,4,2020,LGA1200,Desktop
Intel Core i5-10400T @ 2.00GHz,182.0,10052,55.23,2168,11.91,35.0,287.2,6,2020,LGA1200,Desktop
Intel Core i7-7740X @ 4.30GHz,225.99,9864,43.65,2805,12.41,112.0,88.07,4,2017,LGA2066,Desktop
Intel Core i5-8600 @ 3.10GHz,275.67,9849,35.73,2582,9.36,65.0,151.52,6,2018,LGA1151,Desktop
Intel Core i5-9500 @ 3.00GHz,297.59,9698,32.59,2578,8.66,65.0,149.2,6,2019,LGA1151,Desktop
Intel Core i3-10305 @ 3.80GHz,159.99,9689,60.56,2834,17.71,65.0,149.06,4,2021,LGA1200,Desktop
Intel Core i5-8500 @ 3.00GHz,190.0,9576,50.4,2485,13.08,65.0,147.32,6,2018,LGA1151,Desktop
Intel Core i5-9400 @ 2.90GHz,139.99,9478,67.71,2479,17.71,65.0,145.82,6,2019,LGA1151,Desktop
AMD Ryzen 5 3400G,228.0,9331,40.93,2360,10.35,65.0,143.56,4,2019,AM4,Desktop
Intel Core i3-10300 @ 3.70GHz,138.99,9284,66.79,2677,19.26,65.0,142.82,4,2020,LGA1200,Desktop
Intel Core i5-8400 @ 2.80GHz,230.0,9222,40.1,2404,10.45,65.0,141.88,6,2017,LGA1151,Desktop
AMD Ryzen 5 1500X,120.36,9083,75.47,2110,17.53,65.0,139.75,4,2017,AM4,Desktop
Intel Core i3-10105 @ 3.70GHz,107.0,8928,83.44,2718,25.4,65.0,137.36,4,2021,LGA1200,Desktop
Intel Core i3-10100F @ 3.60GHz,79.99,8854,110.69,2604,32.56,65.0,136.22,4,2020,LGA1200,Desktop
Intel Core i3-10100 @ 3.60GHz,112.99,8800,77.88,2637,23.34,65.0,135.39,4,2020,LGA1200,Desktop
AMD Ryzen 5 2400G,214.0,8729,40.79,2158,10.09,65.0,134.29,4,2018,AM4,Desktop
Intel Core i5-9600T @ 2.30GHz,213.0,8393,39.4,2175,10.21,35.0,239.79,6,2019,LGA1151,Desktop
Intel Core i5-9500T @ 2.20GHz,192.0,8256,43.0,2200,11.46,35.0,235.88,6,2019,LGA1151,Desktop
Intel Core i5-8600T @ 2.30GHz,199.99,8227,41.14,2180,10.9,35.0,235.06,6,2018,LGA1151,Desktop
Intel Core i3-10305T @ 3.00GHz,143.0,8136,56.9,2456,17.18,35.0,232.46,4,2021,LGA1200,Desktop
Intel Core i3-10300T @ 3.00GHz,174.28,7997,45.89,2350,13.49,35.0,228.49,4,2020,LGA1200,Desktop
Intel Core i3-10105T @ 3.00GHz,122.0,7850,64.34,2350,19.26,35.0,224.28,4,2021,LGA1200,Desktop
